TEAM_NAME,ISOLATION FREQ%,TRANSITION FREQ%,P&R FREQ%,HANDOFF FREQ%,POST UP FREQ%
Washington Wizards,4.3,19.4,18,5.8,2.6
Utah Jazz,7.6,17.7,15,6.2,1.7
Toronto Raptors,4.1,21.7,13.5,5.7,3
San Antonio Spurs,6.9,19.9,13.8,4.8,2.9
Sacramento Kings,7.2,17.4,15,7.7,5.3
Portland Trail Blazers,7.6,18.7,18,4.7,1.6
Phoenix Suns,6.5,15.4,16.4,3.2,2.6
Philadelphia 76ers,9.4,17.4,17,4.2,3.3
Orlando Magic,7.2,16.4,18.1,4,3.6
Oklahoma City Thunder,9,19.3,17.7,4.2,1.5
New York Knicks,7.3,18.3,15,4.5,4.8
New Orleans Pelicans,6.9,17.4,17.8,5.6,2
Minnesota Timberwolves,7.8,15.3,16.3,4.5,3.3
Milwaukee Bucks,8.4,17.2,15.3,5.8,6.8
Miami Heat,6.6,16.5,16.2,5.5,3.9
Memphis Grizzlies,7.6,24.2,10.2,2,3.9
Los Angeles Lakers,9,17.2,15.9,3.9,5
LA Clippers,12,19.1,14.6,4.3,4.8
Indiana Pacers,5.6,20.2,17.4,3.9,4.8
Houston Rockets,7.6,18.1,17.1,4.5,5.3
Golden State Warriors,5,17.7,13.4,5.2,2.3
Detroit Pistons,5.9,20.3,17.1,6.8,3.9
Denver Nuggets,5,19.8,12.1,6.2,7.1
Dallas Mavericks,10,19.8,15.3,4.9,3.1
Cleveland Cavaliers,5.5,17.5,21.8,4.6,1.6
Chicago Bulls,4.5,24.3,15.9,3,3.2
Charlotte Hornets,6,16.3,20.9,5.6,2
Brooklyn Nets,5.7,17.8,14,8.1,2
Boston Celtics,10,16,15.4,2.9,6
Atlanta Hawks,4.1,21.1,16.3,5.4,1.4